epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.5186318692519242,0.8086511826124014,0.44590699272744494,0.8315950920245399
1,0.38660744573955097,0.8574898785425101,0.39398772178069214,0.8493865030674846
2,0.35423348965581714,0.8664606861282762,0.3830180913895551,0.8595092024539878
3,0.33944129062018336,0.8737268271894311,0.35335765005392167,0.8653374233128834
4,0.327194056958484,0.8778180268484977,0.3342515822282872,0.8757668711656442
5,0.31919256337590307,0.8802045599829533,0.35432124083027516,0.8665644171779141
6,0.3163890459092726,0.8822075431493714,0.3353992442777552,0.8745398773006134
7,0.31237622397526504,0.8820370764969103,0.3706296584311804,0.8595092024539878
8,0.3097655744935413,0.8827189431067547,0.3208338805400064,0.8794478527607362
9,0.30291286754885666,0.8856381845301513,0.3369279149062703,0.8742331288343558
