epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.22461803610863879,0.9193266567227786,0.19534568758593926,0.9315950920245398
1,0.12425997499379512,0.9565736202855316,0.15736701307750264,0.943558282208589
2,0.09137819179863309,0.9685275942893672,0.11986911624539329,0.9585889570552147
3,0.06962396210792199,0.9760068186660984,0.11447377845115904,0.9601226993865031
4,0.06025400392441966,0.9792669933944173,0.11877499764930556,0.9579754601226994
5,0.050697789144611316,0.9831024930747922,0.11063042436210378,0.9622699386503067
6,0.041179530871495056,0.9862348178137652,0.10615129546920553,0.9616564417177914
7,0.040039465503276764,0.9864265927977839,0.12880539616019582,0.9585889570552147
8,0.03215558468821217,0.9895802258683145,0.08769586691719938,0.9705521472392638
9,0.028706668002796594,0.9903260174728319,0.10864702523500132,0.9644171779141104
