epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.32370876410817095,0.8823567014702749,0.3279897544098778,0.8840490797546012
1,0.17125150800443026,0.9366077136160239,0.2315965260173147,0.9202453987730062
2,0.13575420135282218,0.9493714042190496,0.19730979595347622,0.9282208588957055
3,0.12242539979938379,0.9550394204133816,0.22040081047596385,0.9266871165644172
4,0.10407579301966757,0.9606008949499254,0.21789695934061026,0.9196319018404908
5,0.09914740144882038,0.9639676113360324,0.18442408036882335,0.938036809815951
6,0.09223527495186558,0.9672917110590241,0.18610384011632564,0.9306748466257668
7,0.08258078728441882,0.9702748774770935,0.21948816398858176,0.9319018404907975
8,0.0773240752078078,0.9716173023652248,0.1654245092540791,0.94079754601227
9,0.07462344585524455,0.9726827189431068,0.2124611002863188,0.9303680981595092
