epoch,train_loss,train_acc,valid_loss,valid_acc
0,1.1145103100965887,0.5855742595354784,0.8476522967585025,0.6567484662576687
1,0.5237512112167085,0.8000213083315576,0.5768718600638805,0.7680981595092025
2,0.42558804127565714,0.8363307053057746,0.5385040434340209,0.7837423312883436
3,0.3656057060148266,0.8592158533986789,0.5063833827867052,0.7978527607361963
4,0.33399175868869535,0.8722139356488386,0.5068839646967277,0.8033742331288344
5,0.31045262923159755,0.8798849350095888,0.506725251649655,0.802760736196319
6,0.2868760714805337,0.8880247176646069,0.44424633742267255,0.8279141104294478
7,0.2718721711607623,0.8958022586831451,0.4175798263432218,0.8365030674846625
8,0.25542533874999707,0.9010867249094396,0.5007790391457673,0.7978527607361963
9,0.2390976363659112,0.9082889409759216,0.40854831728398616,0.8273006134969325
