epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.22022643923276078,0.9177285318559557,0.12638388587250424,0.9666666666666667
1,0.12578113878496155,0.9570424035797997,0.12383012490117078,0.9625
2,0.09962858346513755,0.9655444278712977,0.15391498491014013,0.9458333333333333
3,0.08901652211015446,0.9701257191561901,0.1309351429604527,0.9541666666666667
4,0.08018621976641346,0.9721500106541657,0.10590357385892446,0.9708333333333333
5,0.07283410102357663,0.9750692520775623,0.10272962355108195,0.9708333333333333
6,0.06550057518328509,0.9776688685275943,0.07255778595572071,0.9708333333333333
7,0.061755232703503256,0.9799062433411464,0.11197243418588802,0.9791666666666666
8,0.05822606974295695,0.9812912848923929,0.31547517586232726,0.9208333333333333
9,0.053090404636498986,0.981760068186661,0.13978263913681607,0.9583333333333334
